ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
NGA,South South,6945168,Children stunted,26.3,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HA2,104236020,I,433010,1433060,Region,South South,0,,0,1,CNNUTSCHA2,NGDHS2003433010,2003,DHS,635,460,,,1
NGA,North Central,4881249,Mean height for age of children,-1.2,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HAM,104236030,I,433005,1433010,Region,North Central,0,,0,1,CNNUTSCHAM,NGDHS2003433005,2003,DHS,757,850,,,1
NGA,North East,3150991,Mean height for age of children,-1.8,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HAM,104236030,I,433006,1433020,Region,North East,0,,0,1,CNNUTSCHAM,NGDHS2003433006,2003,DHS,1093,1104,,,1
NGA,North West,3495741,Mean height for age of children,-2.4,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HAM,104236030,I,433007,1433030,Region,North West,0,,0,1,CNNUTSCHAM,NGDHS2003433007,2003,DHS,1452,1185,,,1
NGA,South East,4046751,Mean height for age of children,-0.6,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HAM,104236030,I,433008,1433040,Region,South East,0,,0,1,CNNUTSCHAM,NGDHS2003433008,2003,DHS,326,438,,,1
NGA,South West,7555503,Mean height for age of children,-1.2,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HAM,104236030,I,433009,1433050,Region,South West,0,,0,1,CNNUTSCHAM,NGDHS2003433009,2003,DHS,507,565,,,1
NGA,South South,6945169,Mean height for age of children,-0.9,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_HAM,104236030,I,433010,1433060,Region,South South,0,,0,1,CNNUTSCHAM,NGDHS2003433010,2003,DHS,635,460,,,1
NGA,North Central,3810266,Children severely wasted,2.8,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH3,104236040,I,433005,1433010,Region,North Central,0,,0,1,CNNUTSCWH3,NGDHS2003433005,2003,DHS,757,850,,,1
NGA,North East,217865,Children severely wasted,3.6,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH3,104236040,I,433006,1433020,Region,North East,0,,0,1,CNNUTSCWH3,NGDHS2003433006,2003,DHS,1093,1104,,,1
NGA,North West,4449343,Children severely wasted,6,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH3,104236040,I,433007,1433030,Region,North West,0,,0,1,CNNUTSCWH3,NGDHS2003433007,2003,DHS,1452,1185,,,1
NGA,South East,3511191,Children severely wasted,1.1,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH3,104236040,I,433008,1433040,Region,South East,0,,0,1,CNNUTSCWH3,NGDHS2003433008,2003,DHS,326,438,,,1
NGA,South West,7554414,Children severely wasted,3,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH3,104236040,I,433009,1433050,Region,South West,0,,0,1,CNNUTSCWH3,NGDHS2003433009,2003,DHS,507,565,,,1
NGA,South South,6084441,Children severely wasted,6.8,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH3,104236040,I,433010,1433060,Region,South South,0,,0,1,CNNUTSCWH3,NGDHS2003433010,2003,DHS,635,460,,,1
NGA,North Central,3810267,Children wasted,7.8,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH2,104236050,I,433005,1433010,Region,North Central,0,,0,1,CNNUTSCWH2,NGDHS2003433005,2003,DHS,757,850,,,1
NGA,North East,217866,Children wasted,10.7,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH2,104236050,I,433006,1433020,Region,North East,0,,0,1,CNNUTSCWH2,NGDHS2003433006,2003,DHS,1093,1104,,,1
NGA,North West,4449344,Children wasted,14.3,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH2,104236050,I,433007,1433030,Region,North West,0,,0,1,CNNUTSCWH2,NGDHS2003433007,2003,DHS,1452,1185,,,1
NGA,South East,3511193,Children wasted,3.4,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH2,104236050,I,433008,1433040,Region,South East,0,,0,1,CNNUTSCWH2,NGDHS2003433008,2003,DHS,326,438,,,1
NGA,South West,7554415,Children wasted,9.6,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH2,104236050,I,433009,1433050,Region,South West,0,,0,1,CNNUTSCWH2,NGDHS2003433009,2003,DHS,507,565,,,1
NGA,South South,6084442,Children wasted,12.5,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WH2,104236050,I,433010,1433060,Region,South South,0,,0,1,CNNUTSCWH2,NGDHS2003433010,2003,DHS,635,460,,,1
NGA,North Central,3810312,Children overweight,2.6,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHP,104236060,I,433005,1433010,Region,North Central,0,,0,1,CNNUTSCWHP,NGDHS2003433005,2003,DHS,757,850,,,1
NGA,North East,217867,Children overweight,3.7,1,NG,Nigeria,2003,NG2003DHS,CN_NUTS_C_WHP,104236060,I,433006,1433020,Region,North East,0,,0,1,CNNUTSCWHP,NGDHS2003433006,2003,DHS,1093,1104,,,1
